beta,rho,D,seed,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc
0.5,0.75,10.0,2,0.6073333333333333,0.8337518293404762,0.9774494572468326,0.9214129659516913,0.9273855786203093,0.9954771703352394,0.9848994109054461,0.9854349360824064,0.9997524518426394,0.9991196795950809,0.9795286042673339,0.9994925765452587,0.9982325749930592,0.96719593436681,2.1026745423134163,2.6181408455628645,0.6258412088434322
0.5,0.75,10.0,3,0.598,0.8540736218689169,0.9826778937676138,0.9416065382857995,0.9520226515150687,0.9981181817926632,0.9936186053357503,0.969938420998898,0.9992643145625311,0.997473747619589,0.9707805074784457,0.9993191593163601,0.9977153318670698,0.961571186648592,2.2385413887912704,2.7134322147057417,0.631371893782666
0.5,0.75,10.0,4,0.6003333333333334,0.8384042605891956,0.9789388713516551,0.9256782233854153,0.9365297666671868,0.996695886566539,0.9892747042075059,0.9826427101477284,0.9997287042278465,0.9991426757830413,0.9841046244414141,0.9997562097358382,0.9994986888114908,0.9734373634273443,1.8565389928781197,2.5279709267262804,0.6125829455325301
0.5,0.75,10.0,5,0.599,0.8442297145064068,0.9804059252002902,0.9311011191675777,0.9385976063294804,0.9968845410455563,0.9893931273720541,0.9871168630751941,0.999862853653805,0.9995462734024755,0.9917954687187222,0.9999449647676772,0.9998108563870882,0.9643910664469985,2.2762633188663925,2.7100314847412434,0.6261738530690525
0.5,0.75,10.0,6,0.616,0.8403928132528424,0.9793071472974695,0.9284177914571462,0.9326290534892536,0.9962915259141574,0.9872306265378656,0.9910211003909676,0.9999122365078535,0.9998289413537753,0.9935223762394162,0.9999620228306018,0.9999258765672507,0.9655243742842597,2.3102748043050614,2.5517641428096116,0.6284581304112554
0.5,0.75,10.0,7,0.5973333333333334,0.8240019718469975,0.9750673479655328,0.9108837306777611,0.9108719452850226,0.9931440740384782,0.9788654641522739,0.976073690587762,0.999424190303706,0.998661113453491,0.980635490213837,0.9996466388467306,0.9993136840394993,0.9491966797050982,3.8787691618103364,3.1540511640120696,0.6328732464374409
0.5,1.0,10.0,0,0.601,0.7907983578476235,0.9643867776155691,0.869477866628327,0.9259372388476391,0.995336832515242,0.9858340655473085,0.9698691972040842,0.9992727760407697,0.9980798149232176,0.9851708373103807,0.9997763686274794,0.9993641890761689,0.9480645775170368,3.5476984266810723,3.0081687150253864,0.6423778062275304
0.5,1.0,10.0,1,0.6016666666666667,0.7857520634094322,0.9623881220742381,0.8623337408048954,0.9232402797341468,0.9951129164258633,0.9842207744505436,0.9938634430067032,0.9999623012663723,0.9999318297230156,0.994143581232497,0.9999664804219204,0.9999093548284578,0.9570996511427214,2.488654609229114,2.918156983095934,0.6365122451581497
0.5,1.0,10.0,2,0.6073333333333333,0.7870013378348932,0.9627492104667683,0.8651365462379155,0.9273855786203093,0.9954771703352394,0.9848994109054461,0.9854349360824064,0.9997524518426394,0.9991196795950809,0.9795286042673339,0.9994925765452587,0.9982325749930592,0.96719593436681,2.1026745423134163,2.6181408455628645,0.6258412088434322
0.5,1.0,10.0,3,0.598,0.8031349191629537,0.9678127581078492,0.8868213920358794,0.9520226515150687,0.9981181817926632,0.9936186053357503,0.969938420998898,0.9992643145625311,0.997473747619589,0.9707805074784457,0.9993191593163601,0.9977153318670698,0.961571186648592,2.2385413887912704,2.7134322147057417,0.631371893782666
0.5,1.0,10.0,4,0.6003333333333334,0.7891157459760569,0.9634136625315999,0.8662556262495603,0.9365297666671868,0.996695886566539,0.9892747042075059,0.9826427101477284,0.9997287042278465,0.9991426757830413,0.9841046244414141,0.9997562097358382,0.9994986888114908,0.9734373634273443,1.8565389928781197,2.5279709267262804,0.6125829455325301
0.5,1.0,10.0,5,0.599,0.7950605108811171,0.9656304856539116,0.8747376694207957,0.9385976063294804,0.9968845410455563,0.9893931273720541,0.9871168630751941,0.999862853653805,0.9995462734024755,0.9917954687187222,0.9999449647676772,0.9998108563870882,0.9643910664469985,2.2762633188663925,2.7100314847412434,0.6261738530690525
0.5,1.0,10.0,6,0.616,0.7901508447184713,0.9636730035978391,0.8689901297391741,0.9326290534892536,0.9962915259141574,0.9872306265378656,0.9910211003909676,0.9999122365078535,0.9998289413537753,0.9935223762394162,0.9999620228306018,0.9999258765672507,0.9655243742842597,2.3102748043050614,2.5517641428096116,0.6284581304112554
0.5,1.0,10.0,7,0.5973333333333334,0.7766987669839565,0.9595495913962644,0.8495746557465261,0.9108719452850226,0.9931440740384782,0.9788654641522739,0.976073690587762,0.999424190303706,0.998661113453491,0.980635490213837,0.9996466388467306,0.9993136840394993,0.9491966797050982,3.8787691618103364,3.1540511640120696,0.6328732464374409
